TO time,TO value,IC time,IC value
3845.0,-187.95,3320.0,-208.95
4773.0,-168.28,4239.0,-206.43
5675.0,-184.59,5144.0,-201.67
6559.0,-159.53,6043.0,-194.81
7448.0,-194.25,6922.0,-185.57
8368.0,-171.85,7833.0,-206.29
9265.0,-190.75,8745.0,-194.18
10164.0,-186.62,9636.0,-199.92
11066.0,-191.45,10552.0,-195.44
11978.0,-162.96,11445.0,-180.6
12870.0,-181.16,12342.0,-187.25
13781.0,-189.84,13248.0,-215.18
14701.0,-151.06,14160.0,-213.01
15610.0,-178.08,15072.0,-221.06
16521.0,-175.7,15988.0,-188.65
17424.0,-196.0,16899.0,-217.49
18360.0,-162.89,17817.0,-195.44
19281.0,-182.07,18741.0,-206.71
20191.0,-182.42,19660.0,-209.16
21125.0,-180.39,20584.0,-183.26
22069.0,-184.03,21503.0,-182.21
23018.0,-187.11,22456.0,-204.26
23981.0,-159.39,23410.0,-198.94
24917.0,-177.1,24375.0,-202.3
25864.0,-156.59,25302.0,-178.15
26797.0,-180.46,26241.0,-188.72
27734.0,-148.05,27185.0,-207.97
28652.0,-181.93,28104.0,-204.26
29583.0,-151.9,29028.0,-200.76
30528.0,-175.35,29972.0,-197.96
31478.0,-164.29,30914.0,-205.38
32445.0,-171.85,31865.0,-180.46
33398.0,-153.09,32833.0,-179.06
34349.0,-172.48,33777.0,-193.69
35326.0,-163.73,34734.0,-170.1
36292.0,-168.56,35717.0,-188.72
37284.0,-152.25,36689.0,-185.36
,,37682.0,-171.08
