TO,IC
2785.0,2561.0
4308.0,3518.0
5772.0,9362.0
7149.0,13082.0
8726.0,18786.0
10204.0,21611.0
11654.0,23838.0
13098.0,26196.0
14476.0,27699.0
15992.0,28366.0
17385.0,32989.0
18795.0,58503.0
20185.0,60492.0
21626.0,61871.0
23164.0,62619.0
26212.0,69795.0
27723.0,71119.0
29234.0,73188.0
30796.0,
32282.0,
33876.0,
35305.0,
36790.0,
38255.0,
39835.0,
41264.0,
42761.0,
44158.0,
45634.0,
47065.0,
48512.0,
49836.0,
51353.0,
52814.0,
55680.0,
57106.0,
58511.0,
59919.0,
61271.0,
62634.0,
63939.0,
65233.0,
67862.0,
69216.0,
70525.0,
71857.0,
73204.0,
74496.0,
75797.0,
78384.0,
79623.0,
80862.0,
